,snid,Redshift,SN_RA,SN_DEC,HOST_RA,HOST_DEC,dDLR,U-R,(U-R)_v3,LOGMASS,LOGMASS_lowerr,LOGMASS_uppererr,LOG10SFR,SFR,SFR_lowerr,SFR_uppererr,Notes
28,2021cyn,0.06,123.4545647,-12.1159861,123.45354780000000,-12.116353500000000,1.2110609054456000,0.4393281906256730,1.171,10.387,0.06,0.144,0.482,3.0338911841942700,0.581,0.431,
29,2021dch,0.020165,196.3490056,29.509636,196.3483896,29.5103387,1.1538912396668100,1.54197579295197,1.549,9.569,0.255,0.244,-6.934,1.16412602941049e-07,3.066,6.802,
30,2021dcu,0.041798,242.0259532,25.48373103,242.02722500000000,25.485416,2.4912587784993200,1.3558724909020900,1.988,11.029,0.22,0.215,0.629,4.2559841313374300,10.629,0.079,
31,2021ddh,0.036,129.8713198,-1.408058568,129.8714501,-1.4091385000000000,1.2275121672886000,0.904448281664258,1.28,9.813,0.138,0.341,-0.067,0.8570378452303700,9.933,0.385,
32,2021dep,0.036805,211.0527318,27.62614525,211.05306150000000,27.6265434,0.36432776976759700,0.97415701365793,1.173,10.404,0.249,0.157,0.059,1.1455129414455400,8.268,0.742,
33,2021dha,0.080206,172.9102667,14.0762639,172.90766500000000,14.077345,2.231740257522180,0.958017056806184,1.713,10.701,0.128,0.382,0.318,2.0796966871037000,10.318,0.704,
34,2021dlb,0.033416,223.2790397,3.537317514,223.28035200000000,3.538163,1.6035944071799200,1.37908459074544,1.718,10.265,0.212,0.327,-4.498,3.17687407064977e-05,5.502,4.921,
35,2021dnl,0.0556,221.762429,0.475708,221.76678500000000,0.4790232,3.2189800517902600,0.790862153317704,1.171,10.689,0.174,0.278,0.915,8.222426499470710,7.145,0.19,
36,2021dov,0.012797,134.0779465,-0.4421419762,134.0780316,-0.44149530000000000,0.6829131229656250,1.25669421577408,1.386,9.615,0.169,0.262,-0.807,0.15595525028269500,9.193,0.641,
37,2021drc,0.040571,171.9545038,21.38672869,171.95476730000000,21.3861101,0.3473410160179410,1.72470536739658,1.779,11.02,0.373,0.116,-7.778,1.66724721255106e-08,2.222,8.577,
38,2021fna,0.079,154.0947855,-23.1994468,154.0954468,-23.199840000000000,0.8833794399180000,1.20006625576953,1.866,10.533,0.118,0.323,0.113,1.297179270983960,10.113,0.263,
39,2021fof,0.04,212.0533103,-8.832710317,212.05130830000000,-8.831627900000000,11.674694050926800,0.7773449779297440,0.312,8.488,0.079,0.049,-0.29,0.5128613839913650,3.064,0.294,
