snid,a,b,theta
2021dha,17.876928329467800,7.37411642074585,0.46628129482269300
2021dev,11.630867958068800,6.200963973999020,-0.3707543611526490
2021ckc,10.927480697631800,6.012410640716550,1.1685059070587200
2021cyn,29.49283790588380,26.860292434692400,-0.4586247503757480
2021dch,12.778075218200700,8.697564125061040,1.502581238746640
2021dnl,32.8326301574707,11.775895118713400,-0.30026593804359400
2021dov,23.732454299926800,11.816819190979000,0.7618939280509950
2021dep,19.73902130126950,14.665998458862300,-0.7694675922393800
2021ddh,13.246417045593300,12.75944995880130,-0.1690770387649540
2021dcu,41.87862777709960,22.76742172241210,0.13581468164920800
2021dlb,17.747783660888700,8.44913387298584,-1.0086803436279300
2021drc,33.147830963134800,15.245806694030800,1.5454035997390700
2021hjc,19.270578384399400,12.424384117126500,-1.3048075437545800
2021hjb,13.101201057434100,5.068789005279540,-1.1140094995498700
2021hiz,148.37132263183600,23.955595016479500,1.1913952827453600
2021grd,30.810340881347700,20.063894271850600,-1.0226359367370600
2021fna,11.832396507263200,4.390387535095220,0.5448437333107000
2021gkb,29.16067886352540,22.264137268066400,-1.3193550109863300
2021fxy,79.51576232910160,59.63909149169920,0.2203417718410490
2021foh,17.563404083252000,16.67246437072750,1.2373772859573400
2021fqb,19.766023635864300,8.897237777709960,-0.7290645837783810
2021gwa,23.339576721191400,18.75648307800290,-0.7397263050079350
2021gez,36.5943717956543,6.578088283538820,-0.7013473510742190
2021gqc,7.30889368057251,5.492069244384770,-1.1114954948425300
2021gwn,14.705742835998500,11.406142234802200,-1.3861628770828200
2021hji,8.904197692871090,6.156911373138430,0.49008744955062900
2021hup,6.86133337020874,4.192897319793700,1.0726925134658800
2021ipf,31.145715713501000,13.689251899719200,-1.5672798156738300
2021ihz,35.79994201660160,27.381065368652300,0.28905901312828100
2021hwk,21.162723541259800,8.332047462463380,-1.5234105587005600
2021igt,9.800945281982420,4.536188125610350,-1.3907215595245400
2021inj,39.47382354736330,14.57165241241460,0.6861505508422850
2021ill,16.685321807861300,4.771113395690920,0.6209745407104490
2021ify,16.18245506286620,14.20814323425290,0.8892254829406740
2021iov,18.797794342041000,16.1618709564209,-0.4787425994873050
2021jad,124.85262298584000,46.710540771484400,-1.0204514265060400
2021jap,23.432899475097700,5.592158317565920,0.6128158569335940
2021jwl,21.046234130859400,15.209436416626000,-1.099108338356020
2021juw,31.98317527771000,23.701404571533200,-0.7162509560585020
2021jvs,59.93497085571290,18.29952621459960,1.512536644935610
2021jkd,9.800189971923830,8.381423950195310,1.5444966554641700
2021jys,8.816131591796880,7.070581912994390,1.2482833862304700
2021jze,110.71031188964800,27.108755111694300,-0.4039720892906190
2021khn,15.74924087524410,11.641486167907700,0.7622644305229190
2021knh,15.504313468933100,8.86441707611084,1.5535305738449100
2021koq,52.461509704589800,33.75383758544920,0.4681659936904910
2021kom,34.0046272277832,10.167685508728000,-0.3081318140029910
2021kly,29.709484100341800,21.45659637451170,1.2599838972091700
2021kut,16.858150482177700,15.304877281189000,-0.8467392325401310
2021law,22.34206771850590,11.472816467285200,0.16619525849819200
2021kre,18.46856117248540,15.413227081298800,-1.559410810470580
2021kxf,10.847471237182600,10.115580558776900,-0.10739874839782700
2021kbj,7.422730445861820,6.114777088165280,-1.3577817678451500
2021log,10.549955368042000,5.744658946990970,0.042522232979536100
2021lnf,15.459300994873000,6.521294116973880,1.0592691898345900
2021lat,11.05226993560790,10.848402976989700,0.37838274240493800
2021low,43.94964599609380,33.29013442993160,-0.9326241612434390
2021lxb,39.67351150512700,26.690174102783200,-1.259812355041500
2021yrz,8.150968551635740,3.3684165477752700,0.7369338274002080
2021yzz,15.90600872039800,7.777298927307130,1.1329758167266800
2021yuj,37.20378494262700,19.7145938873291,0.8167750239372250
2021ypa,12.235600471496600,10.397918701171900,0.5085315108299260
2021ywa,23.024259567260700,14.648089408874500,0.4752384424209600
